pan158,617
322,6665
pan74,137
271,2061
pan266,500
pan280,66
435,1400
pan340,797
pan386,46
pan216,690
pan185,846
pan351,214
pan340,952
253,930
pan254,190
pan172,186
pan72,287
221,9325
120,1660
pan310,442
pan9,424
75,2269
pan27,83
pan309,324
pan499,188
pan38,170
pan325,932
pan151,982
pan163,371
pan457,147
pan234,491
3,6021
pan438,753
pan263,826
303,1652
326,4732
258,8836
pan92,12
464,9762
pan463,132
pan307,165
pan328,58
433,5027
259,7023
pan411,328
pan495,485
pan331,32
pan196,905
458,6428
443,9319
pan460,667
370,1601
397,2038
420,6413
pan101,756
pan438,902
323,7374
228,1456
8,8131
179,4122
pan346,577
pan447,690
337,4132
pan251,7
7,1493
pan409,243
pan135,989
91,3918
223,7395
pan197,830
274,1413
pan465,955
449,868
456,1179
pan301,614
397,4150
pan238,976
8,9126
pan403,855
85,9593
498,2011
306,127
pan174,542
353,6647
467,3503
469,4218
pan446,694
pan424,305
pan279,860
225,4137
pan236,964
215,7566
109,8984
257,352
260,1027
pan331,856
pan25,82
pan183,46
pan43,370
32,1449
pan497,466
pan63,481
399,9154
251,1
pan131,202
pan487,75
70,6065
468,5205
pan191,917
492,2760
458,7329
pan291,633
297,2857
299,2190
pan353,280
428,9334
345,1220
50,7983
319,8929
pan80,270
409,3143
394,8866
103,4003
pan293,540
425,6181
112,952
332,7063
315,3244
244,5246
14,8790
9,5327
pan375,675
pan231,666
pan271,454
304,2042
257,4335
172,5056
417,2975
pan163,945
pan453,586
pan281,307
308,5789
474,3017
pan428,849
322,2475
pan157,230
66,1745
41,592
pan338,458
424,6216
83,1192
pan372,177
pan242,38
pan91,482
pan418,50
148,8922
pan245,755
pan189,908
pan147,979
pan215,564
407,7455
pan85,979
475,5811
310,4969
pan212,556
486,6317
241,1235
149,6072
pan480,450
pan397,18
204,4011
184,440
pan347,93
317,5988
373,5974
190,1583
277,8341
pan201,696
pan3,888
pan22,80
385,1136
pan177,303
pan270,55
258,6782
pan85,672
168,773
361,1361
57,9189
pan446,519
pan378,682
pan366,241
169,7357
224,4657
7,1305
pan31,269
304,7459
165,3190
207,7051
pan78,762
pan260,828
354,268
211,5445
369,800
26,6426
pan295,662
106,5131
pan149,120
200,323
pan314,732
142,6290
262,6375
60,8179
360,6300
pan138,497
pan300,554
431,2789
pan404,681
227,591
311,707
pan102,254
pan329,914
8,5279
160,5356
10,5154
pan64,978
pan353,450
pan387,380
pan478,959
37,5238
144,4684
58,7773
pan337,828
46,5591
200,2918
179,9532
129,2799
9,1497
pan320,803
pan58,336
95,533
220,9332
48,1813
491,9802
409,2303
442,2463
pan93,538
442,319
pan245,487
pan81,633
115,6169
pan299,348
pan112,438
pan414,365
70,3190
pan33,715
pan423,272
95,957
82,6504
pan68,222
pan89,999
289,3871
pan227,315
444,4455
134,9938
202,6683
pan474,869
pan283,649
139,5222
362,2393
213,4145
pan437,364
pan252,734
60,717
pan350,467
pan33,286
pan403,991
pan404,471
pan478,46
371,4555
368,5633
84,799
pan319,755
pan388,291
pan207,771
494,1089
pan337,258
160,2604
58,6382
pan113,800
246,6431
pan46,276
pan153,558
444,2945
pan67,891
9,1688
119,1019
pan223,456
pan106,298
pan258,118
pan41,661
pan318,73
pan228,70
pan173,737
pan65,145
pan253,409
124,3870
pan433,169
231,3127
349,2496
10,2478
436,5058
358,4685
447,3465
93,7041
pan354,537
224,2394
pan245,518
225,2218
pan221,523
51,9939
109,896
294,8023
111,1878
153,1759
pan42,853
pan289,905
pan307,933
pan377,394
253,6586
pan192,979
440,7882
pan315,74
45,5975
pan305,972
10,1914
pan415,210
200,8435
pan94,53
pan32,896
11,9812
394,3631
320,7059
pan295,134
120,9321
pan386,12
449,5746
pan384,621
437,3156
185,1216
pan349,381
480,6590
391,1091
26,3907
347,3268
211,7287
310,2464
pan431,760
pan87,757
155,8849
pan388,325
478,3812
69,6546
328,2951
97,9004
pan384,677
200,3589
460,4949
218,194
pan419,727
pan96,446
pan260,865
306,6617
pan110,408
114,6429
pan292,297
pan381,728
pan330,118
pan376,143
pan104,255
402,5727
119,1236
pan236,427
pan144,687
pan73,276
222,7166
451,1940
pan421,766
pan64,405
171,8261
399,3241
487,3316
pan414,4
101,8499
230,9455
396,526
337,9389
pan103,337
8,1616
122,123
215,9586
pan383,451
388,7583
239,8656
pan194,22
pan221,165
462,5382
pan300,51
268,9640
pan243,646
pan329,675
280,1103
pan215,518
pan372,699
246,1981
pan263,994
145,3255
196,4353
189,1054
335,1468
pan10,856
465,1459
483,3946
34,2672
15,6138
9,150
pan264,883
469,8078
pan24,74
344,9189
pan201,548
pan160,735
458,1555
pan131,590
pan121,497
123,2650
6,7918
84,2331
10,2941
200,5740
100,1726
pan335,574
242,387
332,3683
pan329,865
331,9563
pan249,122
pan81,149
22,9294
115,3315
193,4681
268,7247
155,8826
191,3364
pan56,884
471,878
445,142
pan95,265
389,9972
pan205,689
386,959
pan485,328
pan164,885
pan380,185
264,7817
142,7630
137,1275
pan402,22
226,8849
267,8051
pan226,720
pan407,583
292,3213
329,5351
146,4680
pan277,66
pan404,127
426,3281
128,1735
31,78
104,1626
187,7412
pan252,35
104,7675
pan284,342
202,7274
pan329,53
pan463,116
198,5786
276,4329
pan254,140
pan18,530
405,6178
pan80,619
pan423,742
pan49,659
102,6057
pan71,859
357,9088
38,5945
31,2186
413,530
91,5562
63,3198
305,8790
pan316,666
pan373,597
pan84,710
173,4285
pan470,411
8,4812
pan39,468
453,2493
pan151,924
293,84
pan459,18
pan409,2
119,7441
pan256,802
167,7521
332,7630
pan152,918
145,7971
pan70,967
6,4527
pan376,743
379,276
pan172,885
474,3727
pan347,594
477,9432
247,9130
70,9515
38,5205
417,9398
12,884
140,6681
pan26,740
pan105,417
200,1055
pan484,9
pan114,498
481,5288
pan38,927
pan288,636
24,7203
57,2646
pan297,969
pan67,667
122,4488
483,1009
482,8507
122,604
pan401,920
pan37,478
pan92,453
pan238,941
pan59,921
227,7927
pan67,38
428,9202
pan435,849
pan392,815
pan164,909
143,4746
pan448,18
pan241,315
162,1021
pan441,524
480,6595
182,6640
383,7668
198,8531
460,867
206,5253
pan224,27
391,1746
pan264,703
